fid,FUNCION_PRINCIPAL,SUBCATEGORIA,ESTABLECIMIENTO,FUNCION_SECUNDARIA,PROGRAMACION,SUCURSAL,SALA,CALLE,ALTURA,BARRIO,COMUNA,DIRECCION,LONGITUD,LATITUD,TELEFONO,MAIL,WEB,,FACEBOOK,TWITTER,INSTAGRAM,CAMARA_1,CAMARA_2,REDES,PUNTO_DE_CULTURA,OTRAS_REDES,CANTIDAD_SALAS,CAPACIDAD_TOTAL,TAG
1,ANFITEATRO,,ALEMANIA,,,,,CASARES AV. Y CASTEX,,PALERMO,COMUNA 14,"CASARES AV. y CASTEX, CABA",-58.40855,-34.57558,,,,,,,,,,,,,,,
2,ANFITEATRO,,"ALLENDE, SALVADOR",,,,,"TAMBORINI, JOSE PASCUAL Y HOLMBERG",,VILLA URQUIZA,COMUNA 12,"TAMBORINI, JOSE PASCUAL y HOLMBERG, CABA",-58.48278,-34.56202,,,,,,,,,,,,,,,
3,ANFITEATRO,,ANFITEATRO ESCALINATA,,,,,2 DE ABRIL DE,1982,VILLA LUGANO,COMUNA 8,"2 DE ABRIL DE 1982 6901, CABA",-58.4921,-34.67867,,,,,,,,,,,,,,,
4,ANFITEATRO,,ANFITEATRO EVA PERON,,,,,"MARECHAL, LEOPOLDO",832,CABALLITO,COMUNA 6,"MARECHAL, LEOPOLDO 832, CABA",-58.43747,-34.60825,,,,,,,,,,,,,,0,
5,ANFITEATRO,,ANFITEATRO VILLA CILDAÑEZ,,,,,"ALVAREZ, CRISOSTOMO",4401,PARQUE AVELLANEDA,COMUNA 9,"ALVAREZ, CRISOSTOMO 4401, CABA",-58.47331,-34.66032,,,,,,,,,,,,,,,
6,ANFITEATRO,,ÁNGEL GRIS,,,,,AVELLANEDA AV.,1850,FLORES,COMUNA 7,"AVELLANEDA AV. 1850, CABA",-58.456729,-34.621525,,,,,,,,,,,,,,,
7,ANFITEATRO,,CIUDAD DE UDINE,,,,,CHIVILCOY,1450,FLORESTA,COMUNA 10,"CHIVILCOY 1450, CABA",-58.491874,-34.620489,,,,,,,,,,,,,,,
8,ANFITEATRO,,"CORTAZAR, JULIO",,,,,SERRANO Y HONDURAS,,PALERMO,COMUNA 14,"SERRANO y HONDURAS, CABA",-58.43033,-34.58863,,,,,,,,,,,,,,,
9,ANFITEATRO,,DE LOS COLEGIALES,,,,,"MATIENZO, BENJAMIN, TENIENTE",2901,COLEGIALES,COMUNA 13,"MATIENZO, BENJAMIN, TENIENTE 2901, CABA",-58.443802,-34.576883,,,,,,,,,,,,,,,
10,ANFITEATRO,,DEL CABALLITO,,,,,"REPETTO, NICOLAS, DR. Y YERBAL",,CABALLITO,COMUNA 6,"REPETTO, NICOLAS, DR. y YERBAL, CABA",-58.44332,-34.6199,,,,,,,,,,,,,,,
11,ANFITEATRO,,DONADO 1726,,,,,DONADO,1726,VILLA ORTUZAR,COMUNA 15,"DONADO 1726, CABA",-58.472104,-34.576384,,,,,,,,,,,,,,,
12,ANFITEATRO,,DONATO ÁLVAREZ,,,,,"ALVAREZ, DONATO, TTE. GRAL.",130,FLORES,COMUNA 7,"ALVAREZ, DONATO, TTE. GRAL. 130, CABA",-58.454759,-34.624227,,,,,,,,,,,,,,,
13,ANFITEATRO,,DÚO GARDEL - RAZZANO - PATIO LAUTARO,,,,,LAUTARO,800,FLORES,COMUNA 7,"LAUTARO 800, CABA",-58.453584,-34.635754,,,,,,,,,,,,,,,
14,ANFITEATRO,,"ERNESTO ""CHE"" GUEVARA",,,,,"BENEDETTI, OSVALDO E., DIP.NAC.",102,VELEZ SARSFIELD,COMUNA 10,"BENEDETTI, OSVALDO E., DIP.NAC. 102, CABA",-58.482733,-34.635552,,,,,,,,,,,,,,,
15,ANFITEATRO,,GRAL. JUAN GREGORIO DE LAS HERAS,,,,,"JUNCAL Y DIAZ, CNEL. AV.",,PALERMO,COMUNA 14,"JUNCAL y DIAZ, CNEL. AV., CABA",-58.40832,-34.58655,,,,,,,,,,,,,,,
16,ANFITEATRO,,INTENDENTE FRANCISCO SEEBER,,,,,CERVIÑO AV. Y COLOMBIA AV.,,PALERMO,COMUNA 14,"CERVIÑO AV. y COLOMBIA AV., CABA",-58.418354,-34.575864,,,,,,,,,,,,,,,
17,ANFITEATRO,,PARQUE CENTENARIO,,SI,,,PATRICIAS ARGENTINAS AV.,,CABALLITO,COMUNA 6,"PATRICIAS ARGENTINAS AV., CABA, CABA",-58.4384396,-34.6067319,4982-2106,MBAARTISTICA@BUENOSAIRES.GOB.AR,,,,,,,,,,,,0,
18,ANFITEATRO,,PARQUE IRLANDA,,,,,GAONA AV.,2250,CABALLITO,COMUNA 6,"GAONA AV. 2250, CABA",-58.458377,-34.613458,,,,,,,,,,,,,,,
19,ANFITEATRO,,PARQUE LEZAMA,,,,,BRASIL AV.,300,SAN TELMO,COMUNA 1,"BRASIL AV. 300, CABA",-58.36971,-34.625291,,,,,,,,,,,,,,,
20,ANFITEATRO,,PARQUE SARMIENTO,,,,,"BALBIN, RICARDO, DR. AV. Y PAZ, GRAL. AV.",,SAAVEDRA,COMUNA 12,"BALBIN, RICARDO, DR. AV. y PAZ, GRAL. AV., CABA",-58.50043,-34.5501,,,,,,,,,,,,,,,
21,ANFITEATRO,,PLAZA ALBERDI,,,,,"DIRECTORIO AV. Y DE LA TORRE, LISANDRO",,MATADEROS,COMUNA 9,"DIRECTORIO AV. y DE LA TORRE, LISANDRO, CABA",-58.50311,-34.66013,,,,,,,,,,,,,,,
22,ANFITEATRO,,PLAZA FRANCISCO CANARO,,,,,COCHABAMBA,1902,SAN CRISTOBAL,COMUNA 3,"COCHABAMBA 1902, CABA",-58.392833,-34.624105,,,,,,,,,,,,,,,
23,ANFITEATRO,,PLAZA ISLA LAS MALVINAS,,,,,CABOTO,,BOCA,COMUNA 4,"CABOTO, CABA, CABA",-58.3614253,-34.6271322,,,,,,,,,,,,,,0,
24,ANFITEATRO,,PLAZA MARIANO BOEDO,,,,,ESTADOS UNIDOS,3300,BOEDO,COMUNA 5,"ESTADOS UNIDOS 3300, CABA",-58.41258921,-34.62218903,,,,,,,,,,,,,,,
25,ANFITEATRO,,PLAZA MONS. MIGUEL DE ANDREA,,,,,"ANCHORENA, TOMAS MANUEL DE, DR.",901,RECOLETA,COMUNA 2,"ANCHORENA, TOMAS MANUEL DE, DR. 901, CABA",-58.408052,-34.598004,,,,,,,,,,,,,,,
26,ANFITEATRO,,PLAZA SALGUERO,,,,,"SALGUERO, JERONIMO",741,ALMAGRO,COMUNA 5,"SALGUERO, JERONIMO 741, CABA",-58.419229,-34.601568,,,,,,,,,,,,,,,
27,ANFITEATRO,,PLAZOLETA BOMBEROS VOLUNTARIOS,,,,,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",783,BOCA,COMUNA 4,"ARAOZ DE LAMADRID, GREGORIO, GRAL. 783, CABA",-58.363414,-34.639123,,,,,,,,,,,,,,,
28,ANFITEATRO,,TUPAC AMARU,,,,,LAFUENTE AV. Y PRIMERA JUNTA,,FLORES,COMUNA 7,"LAFUENTE AV. y PRIMERA JUNTA, CABA",-58.46252,-34.64234,,,,,,,,,,,,,,,
29,ANFITEATRO,,UNIDAD NACIONAL,,,,,"GALLO, DELFIN",5746,VILLA LUGANO,COMUNA 8,"GALLO, DELFIN 5746, CABA",-58.476075,-34.677227,,,,,,,,,,,,,,,
30,BAR,NOTABLE,36 BILLARES,,,,,DE MAYO AV.,1265,MONSERRAT,COMUNA 1,"DE MAYO AV. 1265, CABA",-58.384301,-34.60917,4381-5696,INFO@LOS36BILLARES.COM.AR,WWW.LOS36BILLARES.COM.AR,,,,,,,,,,,0,
31,BAR,NOTABLE,8 ESQUINAS,,,,,FOREST AV.,1186,CHACARITA,COMUNA 15,"FOREST AV. 1186, CABA",-58.460138,-34.578517,4554-5129,INFO@OCHOESQUINAS.COM.AR,WWW.OCHOESQUINAS.COM.AR,,https://www.facebook.com/8esquinasbar/,,@8esquinasbar,,,,,,,0,
32,BAR,NOTABLE,9 DE JULIO,,,,,LARRAZABAL AV.,1276,MATADEROS,COMUNA 9,"LARRAZABAL AV. 1276, CABA",-58.502491,-34.650998,,,,,,,,,,,,,,0,
33,BAR,CULTURAL,ACONCAGUA,,,,,ESTADOS UNIDOS,502,SAN TELMO,COMUNA 1,"ESTADOS UNIDOS 502, CABA",-58.373143,-34.618532,,,,,,,,,,,,,,0,
34,BAR,CULTURAL,ALENJO,,,,,BOEDO AV.,825,BOEDO,COMUNA 5,"BOEDO AV. 825, CABA",-58.416416,-34.622842,,,,,,,,,,,,,,0,
35,BAR,CULTURAL,AMERICAN BAR,,,,,SAENZ PEÑA. ROQUE. PRES. DIAGONAL NORTE AV.,632,SAN NICOLAS,COMUNA 1,"SAENZ PEÑA, ROQUE, PRES. DIAGONAL NORTE AV. 632, CABA",-58.375366,-34.607122,4331-4825,,,,,,,,,,,,,0,
36,BAR,GENERAL,ANTIGUA,,,,,TUCUMAN,1700,SAN NICOLAS,COMUNA 1,"TUCUMAN 1700, CABA",-58.39113,-34.60194,4382-0314,libreriaantigua@gmail.com,,,https://www.facebook.com/Librer%C3%ADa-Antigua-,,,,,,,,,0,"Literatura, Ciencias Politicas, Literatura infantil y juvenil, entre otras."
37,BAR,CULTURAL,ARCADE CLUB SOCIAL,,,,,SERRANO,75,VILLA CRESPO,COMUNA 15,"SERRANO 75, CABA",-58.446962,-34.599978,,,,,,,https://www.instagram.com/arcadeclubsocial/,,,,,,,0,
38,BAR,CULTURAL,ASTROBAR,,,,,MEDRANO AV.,950,ALMAGRO,COMUNA 5,"MEDRANO AV. 950, CABA",-58.420346,-34.598503,4866-5588,,,,,,,,,,,,,0,
39,BAR,CULTURAL,BAHIA,,,,,SAENZ AV.,1455,NUEVA POMPEYA,COMUNA 4,"SAENZ AV. 1455, CABA",-58.417042,-34.658225,,,,,,,,,,,,,,0,
40,BAR,CULTURAL,BAIRES CLUB LA CASA DE LA COMEDIA,,SI,,,MITRE. BARTOLOME,1699,SAN NICOLAS,COMUNA 1,"MITRE, BARTOLOME 1699, CABA",-58.390542,-34.607873,4372-4358,,,,https://www.facebook.com/bairescomedia/,,https://www.instagram.com/lacasadelacomedia/,,,,,,1,70,
41,BAR,CULTURAL,BANCO BAR,,,,,ALBERDI. JUAN BAUTISTA AV.,5496,MATADEROS,COMUNA 9,"ALBERDI, JUAN BAUTISTA AV. 5496, CABA",-58.499594,-34.649042,,,,,,,,,,,,,,0,
42,BAR,CULTURAL,BAR BAUNESS,,,,,BAUNESS,2561,VILLA URQUIZA,COMUNA 12,"BAUNESS 2561, CABA",-58.488699,-34.573674,,,,,,,,,,,,,,0,
43,BAR,NOTABLE,BAR BRITANICO,,,,,BRASIL AV.,399,SAN TELMO,COMUNA 1,"BRASIL AV. 399, CABA",-58.370839,-34.625306,4361-7902 / 4361-2107,,WWW.BARBRITANICO.COM.AR,,,,,,,,,,,0,
44,BAR,CULTURAL,BAR CONDE,,,,,CONDE,701,COLEGIALES,COMUNA 13,"CONDE 701, CABA",-58.449646,-34.577811,,,,,,,,,,,,,,0,
45,BAR,NOTABLE,BAR DE CAO,,,,,INDEPENDENCIA AV.,2400,SAN CRISTOBAL,COMUNA 3,"INDEPENDENCIA AV. 2400, CABA",-58.399898,-34.618679,4943-3694,BARDECAO@GMAIL.COM,,,,,,,,,,,,0,
46,BAR,CULTURAL,BAR DE EL GALLEGO,,,,,BONPLAND,1703,PALERMO,COMUNA 14,"BONPLAND 1703, CABA",-58.437209,-34.583305,,,,,,,,,,,,,,0,
47,BAR,NOTABLE,BAR DEL ALVEAR PALACE HOTEL,,,,,ALVEAR AV.,1891,RECOLETA,COMUNA 2,"ALVEAR AV. 1891, CABA",-58.388996,-34.587677,4808-2949 / 4808-2100,,WWW.ALVEARPALACE.COM,,,,@alvearpalace,,,,,,,0,
48,BAR,MILONGA Y/O TANGUERIA,BAR EL CHINO,,,,,BEAZLEY,3566,NUEVA POMPEYA,COMUNA 4,"BEAZLEY 3566, CABA",-58.409913,-34.65314,,,,,,,,,,,,,,0,
49,BAR,NOTABLE,BAR EL ESTAÑO 1880,,,,,VALLE. ARISTOBULO DEL,1100,BOCA,COMUNA 4,"VALLE, ARISTOBULO DEL 1100, CABA",-58.36821,-34.635408,4302-8880 / 3535-1015,ELESTAÑO1880@HOTMAIL.COM,WWW.ELESTAÑO1880.COM.AR,,https://www.facebook.com/pg/Bar-Notable-El-Esta%C3%B1o-1880-567754713413818/reviews/?ref=page_internal,,@elestanobarcafe,,,,,,,0,
50,BAR,NOTABLE,BAR EL FEDERAL,,,,,CALVO. CARLOS,595,SAN TELMO,COMUNA 1,"CALVO, CARLOS 595, CABA",-58.374145,-34.619619,4300-4313,,WWW.BARELFEDERAL.COM.AR,,,,,,,,,,,0,
51,BAR,CULTURAL,BAR EL MODELO,,,,,SANTANDER,487,PARQUE CHACABUCO,COMUNA 7,"SANTANDER 487, CABA",-58.427627,-34.634064,,,,,,,,,,,,,,0,
52,BAR,CULTURAL,BAR KAFKA,,,,,PARAGUAY,1846,RECOLETA,COMUNA 2,"PARAGUAY 1846, CABA",-58.393772,-34.598872,4813-0442,,,,,,,,,,,,,0,
53,BAR,NOTABLE,BAR LAVALLE,,,,,LAVALLE,2407,BALVANERA,COMUNA 3,"LAVALLE 2407, CABA",-58.401076,-34.603404,4371-5782,,https://www.barlavalle.com.ar/,,http://www.facebook.com/BarLavalle/,,@barlavalle,,,,,,,0,
54,BAR,NOTABLE,BAR LONDON CITY,,,,,DE MAYO AV.,599,MONSERRAT,COMUNA 1,"DE MAYO AV. 599, CABA",-58.37474,-34.608508,,,,,,,,,,,,,,0,
55,BAR,NOTABLE,BAR OVIEDO,,,,,DE LA TORRE. LISANDRO AV.,2407,MATADEROS,COMUNA 9,"DE LA TORRE, LISANDRO AV. 2407, CABA",-58.500062,-34.662711,4687-8690,,,,,,,,,,,,,0,
56,BAR,NOTABLE,BAR PLAZA DORREGO,,,,,DEFENSA,1096,SAN TELMO,COMUNA 1,"DEFENSA 1096, CABA",-58.371399,-34.620552,4361-8141 / 4361-0141,CYUTERA@HOTMAIL.COM,,,,,,,,,,,,0,
57,BAR,NOTABLE,BAR QUINTINO,,,,,"CALVO, CARLOS AV.",4002,BOEDO,COMUNA 5,"CALVO, CARLOS AV. 4002, CABA",-58.421977,-34.624844,4923-5237,,,,https://www.facebook.com/bar.quintino/,,,,,,,,,0,
58,BAR,CULTURAL,BAR RODNEY,,,,,RODNEY,400,CHACARITA,COMUNA 15,"RODNEY 400, CABA",-58.453082,-34.591177,,,,,,,,,,,,,,0,
59,BAR,NOTABLE,BAR SEDDON,,,,,DEFENSA,695,MONSERRAT,COMUNA 1,"DEFENSA 695, CABA",-58.371763,-34.615917,4342-3700,BARSEDDON@HOTMAIL.COM,https://www.thefork.com.ar/restaurante/bar-seddon-san-telmo-r504399#/photos,,https://www.facebook.com/barseddon/,,@seddonbaroficial,,,,,,,0,
60,BAR,NOTABLE,BAR SUR,,,,,ESTADOS UNIDOS,299,SAN TELMO,COMUNA 1,"ESTADOS UNIDOS 299, CABA",-58.37003,-34.618388,4362-6086,INFO@BAR-SUR.COM.AR,WWW.BAR-SUR.COM.AR,,,,,,,,,,,0,
61,BAR,CULTURAL,BAR. PELUQUERIA Y BARBERIA LA EPOCA,,,,,GUAYAQUIL,877,CABALLITO,COMUNA 6,"GUAYAQUIL 877, CABA",-58.440417,-34.621818,4903-7799,,WWW.BARBERIALAEPOCA.COM,,,,,,,,,,,0,
62,BAR,NOTABLE,BARBARO - BAR O BAR,,,,,TRES SARGENTOS,415,RETIRO,COMUNA 1,"TRES SARGENTOS 415, CABA",-58.373198,-34.597887,4311-6856,INFO@BAROBAR.COM.AR,HTTP://BARBAROBAR.COM.AR,,,,@barbarobar,,,,,,,0,
63,BAR,CULTURAL,BARCELONA,,,,,CORDOBA AV.,5895,PALERMO,COMUNA 14,"CORDOBA AV. 5895, CABA",-58.443278,-34.585424,,,,,,,,,,,,,,0,
64,BAR,NOTABLE,BIDOU DE LAS LUCES,,,,,PERU,269,MONSERRAT,COMUNA 1,"PERU 269, CABA",-58.374854,-34.611128,4331-1466 / 4343-1041,bidoudelasluces26@gmail.com,,,https://www.facebook.com/barbidoudelasluces/,,@bidoudelasluces,,,,,,,0,
65,BAR,MILONGA Y/O TANGUERIA,BOCATANGO,,,,,BRANDSEN,923,BOCA,COMUNA 4,"BRANDSEN 923, CABA",-58.365457,-34.636823,4302-0808,INFO@BOCATANGO.COM,WWW.BOCATANGO.COM.AR,,,,,,,,,,,0,
66,BAR,MILONGA Y/O TANGUERIA,BOEDO TANGO,,,,,SAN JUAN AV.,3330,BOEDO,COMUNA 5,"SAN JUAN AV. 3330, CABA",-58.412716,-34.625126,4931-5381,,WWW.OSCARHECTORTANGO.COM.AR,,,,,,,,,,,0,
67,BAR,CULTURAL,BOHEMIA,,,,,CABILDO AV.,4212,SAAVEDRA,COMUNA 12,"CABILDO AV. 4212, CABA",-58.471288,-34.545136,,,,,,,,,,,,,,0,
68,BAR,NOTABLE,BOSTON CITY,,,,,FLORIDA,165,SAN NICOLAS,COMUNA 1,"FLORIDA 165, CABA",-58.375033,-34.606125,4343-1438,,,,,,,,,,,,,0,
69,BAR,CULTURAL,BUKOWSKI BAR,,,,,MITRE. BARTOLOME,1525,SAN NICOLAS,COMUNA 1,"MITRE, BARTOLOME 1525, CABA",-58.388328,-34.607717,4372-2843,BUKOWSKIBAR@YAHOO.COM,,,,,,,,,,,,0,
70,BAR,CULTURAL,CAFE AVENIDA,,,,,PERON. EVA AV.,,PARQUE AVELLANEDA,COMUNA 9,"PERON, EVA AV., CABA, CABA",-58.4732568,-34.6528412,,,,,,,,,,,,,,0,
71,BAR,NOTABLE,CAFE DE GARCIA,,,,,SANABRIA,3302,VILLA DEVOTO,COMUNA 11,"SANABRIA 3302, CABA",-58.51059,-34.606356,4501-5912,GARCIA@CAFEDEGARCIA.COM.AR,WWW.CAFEDEGARCIA.COM.AR,,,,,,,,,,,0,
72,BAR,NOTABLE,CAFE DE LA ESQUINA,,,,,DEL LIBERTADOR AV.,6169,BELGRANO,COMUNA 13,"DEL LIBERTADOR AV. 6169, CABA",-58.448815,-34.555186,4782-9038,ELCAFEDELAESQUINA@YAHOO.COM.AR,WWW.ELCAFEDELAESQUINA.COM.AR,,,,,,,,,,,0,
73,BAR,CULTURAL,CAFE DE LA JUNTA DE 1810,,,,,DE MAYO AV.,639,MONSERRAT,COMUNA 1,"DE MAYO AV. 639, CABA",-58.37549,-34.608639,,,,,,,,,,,,,,0,
74,BAR,CULTURAL,CAFE DE LA SUBASTA,,,,,RIO DE JANEIRO,54,CABALLITO,COMUNA 6,"RIO DE JANEIRO 54, CABA",-58.43012,-34.61476,,,,,,,,,,,,,,0,
75,BAR,NOTABLE,CAFE DE LA U,,,,,TRIUNVIRATO AV.,4801,VILLA URQUIZA,COMUNA 12,"TRIUNVIRATO AV. 4801, CABA",-58.487403,-34.573373,4521-9076,,,,,,,,,,,,,0,
76,BAR,NOTABLE,CAFE DE LOS ANGELITOS,,,,,RIVADAVIA AV.,2100,BALVANERA,COMUNA 3,"RIVADAVIA AV. 2100, CABA",-58.396007,-34.609527,4952-2320,INFO@CAFEDELOSANGELITOS.COM,WWW.CAFEDELOSANGELITOS.COM,,,,,,,,,,,0,
77,BAR,CULTURAL,CAFE DORREGO,,,,,DEFENSA,1098,SAN TELMO,COMUNA 1,"DEFENSA 1098, CABA",-58.371399,-34.620552,,,,,,,,,,,,,,0,
78,BAR,NOTABLE,CAFE EL BANDERIN,,,,,GUARDIA VIEJA,3601,ALMAGRO,COMUNA 5,"GUARDIA VIEJA 3601, CABA",-58.415489,-34.601649,4862-7757,INFO@ELBANDERIN.COM.AR,WWW.ELBANDERIN.COM.AR,,,,@barelbanderin,,,,,,,0,
79,BAR,OTROS,CAFE HOMERO,,,,,CABRERA. JOSE A.,4946,PALERMO,COMUNA 14,"CABRERA, JOSE A. 4946, CABA",-58.431813,-34.59034,4773-2047,INFO@HOMEROCAFE.COM.AR,WWW.HOMEROCAFE.COM.AR,,,,,,,,,,,0,
80,BAR,CULTURAL,CAFE LA UNION,,,,,CONGRESO AV.,3899,COGHLAN,COMUNA 12,"CONGRESO AV. 3899, CABA",-58.477636,-34.563171,,,,,,,,,,,,,,0,
81,BAR,NOTABLE,CAFE LOS ANDES,,,,,"SCALABRINI ORTIZ, RAUL AV.",1312,PALERMO,COMUNA 14,"SCALABRINI ORTIZ, RAUL AV. 1312, CABA",-58.427968,-34.5928,,,,,,,,,,,,,,0,
82,BAR,NOTABLE,CAFE MARGOT,,,,,BOEDO AV.,857,BOEDO,COMUNA 5,"BOEDO AV. 857, CABA",-58.416375,-34.623266,4957-0001,,,,,,,,,,,,,0,
83,BAR,CULTURAL,CAFE MIRANDA,,,,,LOPE DE VEGA AV.,1501,MONTE CASTRO,COMUNA 10,"LOPE DE VEGA AV. 1501, CABA",-58.509396,-34.625944,,,,,,,,,,,,,,0,
84,BAR,NOTABLE,CAFE MONTECARLO,,,,,PARAGUAY,5491,PALERMO,COMUNA 14,"PARAGUAY 5491, CABA",-58.43385,-34.577099,4773-0229,barcafemontecarlo@gmail.com,,,https://www.facebook.com/barmontecarlopalermo/,,,,,,,,,0,
85,BAR,NOTABLE,CAFE MONTSERRAT,,,,,SAN JOSE,524,MONSERRAT,COMUNA 1,"SAN JOSE 524, CABA",-58.385901,-34.614765,4382-8719,cafemontserrat@yahoo.com.ar,,,https://www.facebook.com/Caf%C3%A9-Montserrat-161595400572265/,,,,,,,,,0,
